year,lat,lon,annual_electricity_savings_€
2098,40.9,22.300000000000004,910.91
2099,40.9,22.300000000000004,861.39
2100,40.9,22.300000000000004,892.35
2021,40.9,22.40000000000001,863.01
2022,40.9,22.40000000000001,886.78
2023,40.9,22.40000000000001,847.06
2024,40.9,22.40000000000001,872.12
2025,40.9,22.40000000000001,842.25
2026,40.9,22.40000000000001,853.53
2027,40.9,22.40000000000001,902.02
2028,40.9,22.40000000000001,882.77
2029,40.9,22.40000000000001,897.82
2030,40.9,22.40000000000001,877.68
2031,40.9,22.40000000000001,864.94
2032,40.9,22.40000000000001,862.6
2033,40.9,22.40000000000001,856.34
2034,40.9,22.40000000000001,853.24
2035,40.9,22.40000000000001,862.76
2036,40.9,22.40000000000001,871.77
2037,40.9,22.40000000000001,888.26
2038,40.9,22.40000000000001,909.6
2039,40.9,22.40000000000001,866.24
2040,40.9,22.40000000000001,876.57
2041,40.9,22.40000000000001,860.92
2042,40.9,22.40000000000001,901.95
2043,40.9,22.40000000000001,896.45
2044,40.9,22.40000000000001,893.94
2045,40.9,22.40000000000001,854.89
2046,40.9,22.40000000000001,886.39
2047,40.9,22.40000000000001,873.31
2048,40.9,22.40000000000001,864.49
2049,40.9,22.40000000000001,893.9
2050,40.9,22.40000000000001,905.18
2051,40.9,22.40000000000001,860.77
2052,40.9,22.40000000000001,910.95
2053,40.9,22.40000000000001,881.19
2054,40.9,22.40000000000001,895.64
2055,40.9,22.40000000000001,844.0
2056,40.9,22.40000000000001,894.9
2057,40.9,22.40000000000001,876.13
2058,40.9,22.40000000000001,909.21
2059,40.9,22.40000000000001,873.02
2060,40.9,22.40000000000001,893.44
2061,40.9,22.40000000000001,914.49
2062,40.9,22.40000000000001,872.35
2063,40.9,22.40000000000001,890.89
2064,40.9,22.40000000000001,903.36
2065,40.9,22.40000000000001,904.09
2066,40.9,22.40000000000001,864.35
2067,40.9,22.40000000000001,905.31
2068,40.9,22.40000000000001,874.04
2069,40.9,22.40000000000001,879.81
2070,40.9,22.40000000000001,883.07
2071,40.9,22.40000000000001,867.12
2072,40.9,22.40000000000001,868.42
2073,40.9,22.40000000000001,888.49
2074,40.9,22.40000000000001,883.16
2075,40.9,22.40000000000001,864.59
2076,40.9,22.40000000000001,903.43
2077,40.9,22.40000000000001,930.62
2078,40.9,22.40000000000001,880.19
2079,40.9,22.40000000000001,901.91
2080,40.9,22.40000000000001,910.14
2081,40.9,22.40000000000001,887.7
2082,40.9,22.40000000000001,899.55
2083,40.9,22.40000000000001,879.55
2084,40.9,22.40000000000001,901.74
2085,40.9,22.40000000000001,841.15
2086,40.9,22.40000000000001,863.95
2087,40.9,22.40000000000001,887.56
2088,40.9,22.40000000000001,853.53
2089,40.9,22.40000000000001,900.68
2090,40.9,22.40000000000001,927.7
2091,40.9,22.40000000000001,862.94
2092,40.9,22.40000000000001,900.1
2093,40.9,22.40000000000001,916.83
2094,40.9,22.40000000000001,876.4
2095,40.9,22.40000000000001,851.9
2096,40.9,22.40000000000001,857.36
2097,40.9,22.40000000000001,862.14
2098,40.9,22.40000000000001,918.63
2099,40.9,22.40000000000001,872.54
2100,40.9,22.40000000000001,903.89
